Hi.	สวัสดี
Wash up.	ล้าง
We lost.	เราแพ้
Welcome.	ยินดีต้อนรับ
Who won?	ใครชนะ?
You run.	คุณวิ่ง
Be a man.	เป็นลูกผู้ชายหน่อย
Be quiet.	เงียบ ๆ
Call Tom.	โทรหาทอม
Cheer up!	สู้ตาย!
Don't go.	อย่าไป
Find Tom.	หาทอม
Grab Tom.	จับทอม
Grab him.	จับเขา
Have fun.	ขอให้สนุก
How deep?	ลึกแค่ไหน?
Hurry up.	เร็วเข้า
I forgot.	ฉันลืม
I got it.	ฉันเข้าใจแล้ว
I'm fine.	ฉันสบายดี
I'm full.	ฉันอิ่มแล้ว
I'm lazy.	ฉันขี้เกียจ
I'm sure.	ฉันแน่ใจ
I'm weak.	ฉันอ่อนแอ
It's Tom.	มันคือทอม
It's his.	มันเป็นของเขา
It's red.	มันเป็นสีแดง
Kiss Tom.	จูบทอม
Look out!	ระวัง!
Marry me.	แต่งงานกับฉัน
Save Tom.	ช่วยทอม
Speak up!	พูดมา!
Stand up!	ยืนขึ้น!
Stop Tom.	หยุดทอม
Take Tom.	เอาทอมไป
Tell Tom.	บอกทอม
Tom came.	ทอมมา
Tom died.	ทอมตาย
Tom fell.	ทอมล้ม
Tom knew.	ทอมรู้
Tom left.	ทอมออกไปแล้ว
Tom lied.	ทอมโกหก
Tom lies.	ทอมโกหก
Tom lost.	ทอมแพ้
Tom paid.	ทอมจ่าย
Tom quit.	ทอมแแก
Tom's up.	ทอมลุกขึ้น
Too late.	สายเกินไป
Try hard.	พยายามอย่างหนัก
Use this.	ใช้นี่สิ
Warn Tom.	เตือนทอม
Watch me.	ดูฉัน
We agree.	พวกเราเห็นด้วย
We tried.	พวกเราเหนื่อย
We're #1.	พวกเราคือที่หนึ่ง
We're OK.	เราโอเค
We're OK.	เราไม่เป็นอะไร
What for?	เพื่ออะไร?
Who came?	ใครมา?
Answer me.	ตอบฉัน
Birds fly.	นกบิน
Catch Tom.	จับทอม
Come here.	มานี่
Excuse me.	ขออนุญาต
Excuse me.	ขออนุญาตครับ
Excuse me.	ขออนุญาตค่ะ
Excuse me.	ขอโทษครับ
Excuse me.	ขอโทษค่ะ
Excuse me.	ขออภัยค่ะ
Excuse me.	ขออภัยครับ
Follow me.	ตามฉันมา
Get a job.	ออกไปหางานทำเลย
Goodnight.	ราตรีสวัสดิ์
Hands off.	เอามือออกไป
He's a DJ.	เขาเป็นดีเจ
He's rich.	เขารวย
How is it?	มันเป็นอย่างไร?
How is it?	มันสบายดีไหม?
How's Tom?	ทอมเป็นไงบ้าง?
I am sick.	ฉันป่วย
I can fly.	ฉันบินได้
I fainted.	ฉันเป็นลม
I give up.	ฉันยอมแพ้
I hate it.	ฉันเกลียดมัน
I like it.	ฉันชอบมัน
I miss it.	ฉันคิดถึงมัน
I promise.	ฉันสัญญา
I want it.	ฉันต้องการมัน
I'll swim.	ฉันจะว่ายน้ำ
I'm a cop.	ฉันเป็นตำรวจ
I'm a pro.	ฉันเป็นระดับมืออาชีพนะ
I'm angry.	ฉันโกรธ
I'm bored.	ฉันเบื่อ
I'm going.	ฉันกำลังไปอยู่
I'm ready!	ฉันพร้อมแล้ว!
I'm ready.	ฉันพร้อมแล้ว
I'm tired.	ฉันเหนื่อย
I'm tired.	ฉันเพลีย
Is it you?	นั่นใช่คุณไหม?
It's 3:30.	ตอนนี้ 3.30 น.
It's 3:30.	ตอนนี้เวลาสามโมงครึ่ง
It's a TV.	มันคือทีวี
It's cold.	มันเย็น
It's food.	มันเป็นอาหาร
It's food.	มันคืออาหาร
It's mine.	มันเป็นของฉัน
Let me go.	ปล่อยฉันไป
Of course!	แน่นอน!
Say hello.	พูดสวัสดี
She cried.	เธอร้องไห้
She walks.	เธอเดิน
Slow down.	ช้าลงหน่อย
Stay home.	อยู่บ้าน
Thank you.	ขอบคุณ
That's it.	แค่นั้นแหละ
That's me.	นั่นคือฉัน
They fell.	พวกเขาล้มลง
Tom cooks.	ทอมทำอาหาร
Tom moved.	ทอมย้ายบ้าน
Tom waved.	ทอมแกว่ง
Tom works.	ทอมทำงาน
Try again.	ลองอีกครั้ง
Turn left.	เลี้ยวซ้าย
We failed.	เราล้มเหลว
We waited.	เรารอคอย
What's up?	ว่าไง?
Who cares?	ใครสน?
Who knows?	ใครจะรู้?
Who's Tom?	ใครคือทอม?
Wonderful!	ยอดเยี่ยม!
You drive.	คุณขับ
Am I wrong?	ฉันผิดหรือเปล่า?
Are you OK?	คุณโอเคมั้ย
Are you OK?	คุณสบายดีไหม
Be careful.	ระวัง
Birds sing.	นกร้องเพลง
Choose one.	เลือกอย่างหนึ่ง
Definitely!	แน่นอน!
Don't jump!	อย่ากระโดด!
Don't move!	อยาขยับ!
Don't move.	อย่าขยับ
Find a job.	หางานทำ
Follow him.	ตามเขาไป
Forget Tom.	ลืมทอม
Get a life!	อย่ามายุ่ง จะทำอะไรก็ไป
Get a life.	อย่ามายุ่ง จะทำอะไรก็ไป
God exists.	พระเจ้ามีอยู่จริง
Hello, Tom.	สวัสดีทอม
How lovely!	ช่างน่ารักจริง ๆ!
I am a boy.	ฉันเป็นเด็กผู้ชาย
I am a man.	ฉันเป็นผู้ชาย
I am happy.	ฉันมีความสุข
I can't go.	ฉันไม่สามารถไปได้
I disagree.	ฉันไม่เห็นด้วย
I found it.	ฉันเจอมันแล้ว
I hear you.	ฉันได้ยินคุณ
I hope not.	ฉันหวังว่าไม่
I know her.	ฉันรู้จักเธอ
I like R&B.	ฉันชอบเพลงอาร์แอนด์บี
I like art.	ฉันชอบศิลปะ
I like him.	ฉันชอบเขา
I like tea.	ฉันชอบชา
I like you.	ฉันชอบคุณ
I made tea.	ฉันทำชา
I may come.	ผมอาจจะมา
I miss you.	ฉันคิดถึงคุณ
I need you.	ฉันต้องการคุณ
I want Tom.	ฉันต้องการทอม
I want you.	ฉันต้องการคุณ
I'm a twin.	ฉันเป็นฝาแฝด
I'm hungry!	ฉันหิว!
I'm so fat.	ฉันอ้วนมาก
I'm thirty.	ฉันอายุสามสิบ
Is that it?	คือเท่านั้นหรือ?
Is that it?	แค่เท่านั้นหรือ?
Is this it?	แค่เท่านี้หรือ?
It's a bet.	พนันได้เลย
It's a fad.	มันเป็นเทร็นใหม่
It's funny.	มันตลก
It's my CD.	มันคือซีดีของฉัน
Keep quiet.	เงียบ
Let's kiss.	จูบกันเถอะ
No problem.	ไม่มีปัญหา
Pick it up.	หยิบมันขึ้นมา
She smiled.	เธอยิ้ม
Stay close.	อยู่ใกล้ ๆ
Stay there.	ไปอยู่ตรงนั่น
Step aside.	หลีกทาง
Take a bus.	ขึ้นรถเมล์
Take a nap.	นอนสักงีบ
That's Tom.	นั่นทอม
This is it.	นี่ไง
Tom agrees.	ทอมเห็นด้วย
Tom jumped.	ทอมกระโดด
Tom snored.	ทอมกรน
Tom stayed.	ทอมอาศัยอยู่
Tom walked.	ทอมเดิน
Tom'll pay.	ทอมจะจ่าย
Tom's fast.	ทอมรวดเร็ว
Tom's sick.	ทอมป่วย
Wait a sec.	รอแป๊ปนึง
We are men.	พวกเราคือผู้ชาย
We want it.	พวกเราต้องการมัน
We're lost.	พวกเราหลงทาง
What a day!	คำนี้มีสองความหมาย แล้วแต่สถานการณ์ 1. วันนี้เป็นวันที่แย่มากๆ 2. วันนี้เป็นวันที่เยี่ยมมากๆ
What is it?	มันคืออะไร?
Wood burns.	ไม้ไหม้
Are you Tom?	คุณคือทอมใช่ไหม
Come inside.	เข้ามาข้างใน
Count me in.	นับฉันด้วย
Did Tom die?	ทอมตายไหม?
Did Tom eat?	ทอมกินหรือเปล่า?
Don't worry.	ไม่ต้องกังวล
Flip a coin.	1. เป็นการบอกให้ตัดสินใจเลือกอย่างใดอย่างหนึ่ง 2. ให้โยนเหรียญเลือกหัวหรือก้อย
Go home now.	กลับบ้านทันที
Go with Tom.	ไปกับทอม
Grab a seat.	นั่งซิ (เป็นคำพูดที่ไม่เป็นทางการ)
Have a beer.	ดื่มเบียร์ซิ
Have a look.	มาดูซิ
Have a seat.	นั่งสิ (พูดแบบสุภาพ)
Have we met?	พวกเราเคยเจอกันแล้วหรือยัง?
He can come.	เขาสามารถมาได้
He is alone.	เขาอยู่คนเดียว
He's a liar.	เขาเป็นคนขี้โกหก
How are you?	คุณสบายดีไหม?
How are you?	คุณเป็นอย่างไร?
I am a cook.	ฉันเป็นพ่อครัว แม่ครัว
I bought it.	ฉันซื้อมัน
I don't lie.	ฉันไม่ได้โกหก
I feel good.	ฉันรู้สึกดี
I feel sick.	ฉันรู้สึกป่วย
I got dizzy.	ฉันมึน
I got fined.	ฉันถูกปรับ
I had a cat.	ฉันเคยมีแมว
I hate dogs.	ฉันเกลียดสุนัข
I hate sand.	ฉันเกลียดทราย
I have time.	ฉันมีเวลา
I know this.	ฉันรู้สิ่งนี้
I like beer.	ฉันชอบเบียร์
I like rock.	ฉันชอบเพลงร็อค
I like that.	ฉันชอบมัน
I like this.	ฉันชอบสิ่งนี้
I live here.	ฉันอาศัยอยู่ที่นี่
I own a car.	ฉันมีรถยนต์
I recovered.	ฉันหายแล้ว
I said that.	ฉันพูดมัน
I saw a UFO.	ฉันเคยเห็นจานบินยูเอฟโอ
I saw a dog.	ฉันเคยเห็นสุนัข
I trust him.	ฉันเชื่อเขา
I trust you.	ฉันไว้ใจคุณ
I won again.	ฉันชนะอีกแล้ว
I won't lie.	ฉันจะไม่โกหก
I'll get in.	ฉันจะเข้าไป
I'm a baker.	ฉันเป็นคนทำขนมปัง ขนมอบ
I'm a medic.	ฉันเป็นหมอฝึกหัด ฉันเป็นนักเรียนแพทย์
I'm a woman.	ฉันเป็นผู้หญิง
I'm at home.	ฉันอยู่บ้าน
I'm fasting.	ฉันอดอาหาร
I'm furious.	ฉันโมโห
I'm nervous.	ฉันประหม่า
I'm not fat.	ฉันไม่ได้อ้วน
I'm staying.	ฉันกำลังพักอยู่
I'm thirsty.	ฉันกระหายน้ำ
I'm worried.	ฉันกังวล
Is Tom here?	ทอมอยู่นี่ไหม?
Is Tom hurt?	ทอมเจ็บหรือเปล่า?
Is it legal?	มันถูกกฎหมายหรือไม่?
Is it yours?	มันเป็นของคุณหรือเปล่า?
Is this art?	นี่เป็นศิลปะเหรอ?
It can't be!	เป็นไปไม่ได้!
It'll break.	มันจะพัง
It's a date.	ความหมายตรงตัวคือ โอเค นัดกันแล้วนะ / โอเค ตามนั้น
It's a deal.	โอเค ตามนั้นล่ะ
It's a doll.	มันคือตุ๊กตา
It's a fact.	มันคือความจริง
It's a fake.	มันเป็นของปลอม มันปลอม
It's a gift.	1. มันคือของขวัญ 2. พูดเมื่อเราทำอะไรที่คนอื่นทำไม่ได้ เพื่อที่จะเน้นว่า ฉันทำได้เพราะฉันมีความสามารถพิเศษที่ติดตัวมา
It's a harp.	มันคือฮาร์ป
It's a rule.	มันเป็นกฏ
It's a scam.	มันคือการหลอกหลวง
It's a sign.	1. ความหมายตรงตัว มันคือป้ายจราจร ป้ายบอกทาง 2. มันคือลางบอกเหตุ
It's a trap.	มันคือหลุมพราง
Let's dance.	มาเต้นกันเถอะ
Let's start!	เริ่มกันเลย!
Make a list.	จดใว้ว่ามีอะไรบ้าง
Make a wish.	ให้อธิษฐาน อธิษฐานซิ
Many thanks.	ขอบคุณมาก
Money talks.	เงินบันดาลทุกสิ่ง
Nobody came.	ไม่มีใครมา
Pick a date.	เลือกวัน
Say goodbye.	พูดกล่าวลา
She's a dog.	หล่อนคือสุนัข(ตัวเมีย)
Stand still!	หยุดนิ่ง!
Step inside.	ก้าวเข้ามาข้างใน
Stop moving!	หยุดเคลื่อนที่!
Take a bath.	อาบน้ำ
Take a bite.	ลองกัดชิมดูสักคำซิ
There it is.	นั่นไง
Tom cheered.	ทอมให้กำลังใจ
Tom coughed.	ทอมไอ
Tom is deaf.	ทอมเป็นคนหูหนวก
Tom is gone.	ทอมจากไปแล้ว
Tom is last.	ทอมเป็นคนสุดท้าย
Tom is lazy.	ทอมขี้เกียจ
Tom left me.	ทอมทิ้งฉัน
Tom listens.	ทอมฟัง
Tom refused.	ทอมปฏิเสธ
Tom saw her.	ทอมเห็นเธอ
Tom's bored.	ทอมเบื่อ
Tom's funny.	ทอมเป็นคนตลก
Tom's happy.	ทอมมีความสุข
Tom's right.	ทอมถูก
Tom's young.	ทอมเด็ก
Trust in me.	เชื่อในตัวฉัน
Walk slowly.	เดินช้า ๆ
We love Tom.	พวกเรารักทอม
We met here.	เราพบกันที่นี่
We miss Tom.	เราคิดถึงทอม
We'll be OK.	เราจะโอเค
We'll be OK.	เราจะไม่เป็นอะไร
We're right.	เราพูดถูก
What's that?	นั่นคืออะไร?
Who are you?	คุณคือใคร?
Who is that?	นั่นใคร?
Who's dying?	ใครกำลังจะตาย?
You're cute.	คุณน่ารัก
You're wise.	คุณฉลาด
Anybody here?	มีใครอยู่ที่นี่ไหม?
Anybody home?	มีใครอยู่บ้านไหม?
Are you busy?	คุณยุ่งอยู่ใช่ไหม?
Are you okay?	คุณสบายดีไหม?
Are you sure?	คุณแน่ใจหรือ?
Bring him in.	นำเขาเข้ามา
Can you cook?	คุณทำอาหารได้ไหม
Come and see.	มาดู
Come forward.	มาข้างหน้า
Count to ten.	นับถึงสิบ
Don't be shy.	อย่าอายเลย
Don't litter!	อย่าทิ้งขยะ!
Drive slowly.	ขับช้าๆ
Give me that.	เอามันให้ฉัน
Go away, Tom.	ไปให้พ้น, ทอม
Go to school.	ไปโรงเรียน
Good evening.	สวัสดีตอนเย็น
Happy Easter!	สุขสันต์วันอีสเตอร์!
He is asleep.	เขากำลังหลับ
I am working.	ฉันกำลังทำงาน
I called you.	ฉันโทรหาคุณ
I can't help.	ฉันช่วยอะไรไม่ได้
I drank milk.	ฉันดื่มนม
I drink milk.	ฉันดื่มนม
I have hives.	ฉันมีลมพิษ
I have money.	ฉันมีเงิน
I like fruit.	ฉันชอบผลไม้
I love music.	ฉันรักเสียงเพลง
I must study.	ฉันต้องเรียน
I need to go.	ฉันต้องไปแล้ว
I understand.	ฉันเข้าใจ
I want to go.	ฉันอยากไป
I was hungry.	ฉันหิว
I'll ask Tom.	ฉันจะถามทอม
I'm bleeding.	ฉันมีเลือดออก
I'm busy now.	ตอนนี้ฉันไม่ว่าง
I'm free now.	ตอนนี้ฉันว่าง
I'm homesick.	ฉันคิดถึงบ้าน
I'm not free.	ฉันไม่ว่าง
Is Tom crazy?	ทอมเป็นบ้าเหรอ?
Is that okay?	นั่นใช้ได้ไหม
It took time.	มันใช้เวลา
It was black.	มันเป็นสีดำ
It was white.	มันเป็นสีขาว
Keep reading.	อ่านต่อไป
She is eight.	เธออายุแปดปี
She is happy.	เธอมีความสุข
She knows me.	เธอรู้จักฉัน
Should we go?	เราควรไปไหม?
Stay at home.	อยู่บ้าน
Stop the car.	หยุดรถ
Stop yelling!	หยุดตะโกน!
That is mine.	นั่นเป็นของฉัน
They escaped.	พวกเขาหลบหนีไปแล้ว
They're gone.	พวกเขาไปแล้ว
They're weak.	พวกเขาอ่อนแอ
This is food.	นี่คืออาหาร
This is free.	นี่ฟรี
Tom answered.	ทอมตอบ
Tom finished.	ทอมเสร็จแล้ว
Tom helps us.	ทอมช่วยเรา
Tom is my ex.	ทอมเป็นแฟนเก่าของฉัน
Tom knows us.	ทอมรู้จักพวกเรา
Tom loves me.	ทอมรักฉัน
Tom stutters.	ทอมเดินโซเซ
Tom's polite.	ทอมสุภาพ
Tom's thirty.	ทอมอายุสามสิบ
Tom, wake up.	ทอม ตื่น
Unbelievable!	เหลือเชื่อ!
Unbelievable!	ไม่น่าเชื่อ!
We are Arabs.	เราเป็นชาวอาหรับ
We have time.	เรามีเวลา
We're crying.	เรากำลังร้องไห้
We're hungry.	พวกเราหิว
What is love?	รักคืออะไร?
What is this?	นี่คืออะไร?
Who will win?	ใครจะชนะ?
You can rest.	คุณสามารถพักได้
Are you crazy?	คุณบ้าหรือ?
Are you happy?	คุณมีความสุขไหม?
Are you ready?	พร้อมรึยัง
Are you there?	คุณอยู่ที่นั่นหรือไม่?
Are you tired?	คุณเหนื่อยไหม
Ask any woman.	ถามผู้หญิงที่ไหนก็ได้
Chess is hard.	หมากรุกเป็นเรื่องยาก
Do I know you?	ฉันรู้จักคุณหรือเปล่า?
Does Tom know?	ทอมรู้ไหม?
Don't do that.	อย่าทำอย่างนั้น
Don't give up!	อย่ายอมแพ้!
Flowers bloom.	ดอกไม้บาน
He drank beer.	เขาดื่มเบียร์
He has a maid.	เขามีสาวใช้
He hugged her.	เขากอดเธอ
He is English.	เขาเป็นคนอังกฤษ
He talks well.	เขาพูดได้ดี
He walks fast.	เขาเดินเร็ว
He went blind.	เขาตาบอด
He's not home.	เขาไม่ได้อยู่บ้าน
He's studying.	เขากำลังศึกษาอยู่
I believe you.	ฉันเชื่อคุณ
I did my duty.	ผมทำหน้าที่ของผม
I feel unwell.	ฉันรู้สึกไม่สบาย
I felt lonely.	ฉันรู้สึกเหงา
I hate Boston.	ฉันเกลียดบอสตัน
I hate coffee.	ฉันเกลียดกาแฟ
I hate losing.	ฉันเกลียดการแพ้
I have to win.	ฉันต้องชนะ
I like trains.	ฉันชอบรถไฟ
I love apples.	ฉันรักแอปเปิล
I never drink.	ฉันไม่เคยดื่ม
I said I'd go.	ฉันบอกว่าฉันจะไป
I saw a mouse!	ฉันเห็นหนู!
I see a house.	ฉันเห็นบ้าน
I see a queen.	ฉันเห็นราชินี
I want to cry.	ฉันอยากร้องไห้
I want to eat.	ฉันอยากกิน
I'll buy that.	ฉันจะซื้อมัน
I'll go there.	ฉันจะไปที่นั่น
I'll kill him.	ฉันจะฆ่าเขา
I'm Tom's mom.	ฉันเป็นแม่ของทอม
I'm a teacher.	ฉันคือครู
I'm a tourist.	ฉันเป็นนักท่องเที่ยว
I'm not a spy.	ฉันไม่ใช่สายลับ
I'm very poor.	ฉันจนมาก
I've got time.	ฉันมีเวลา
Is that a dog?	นั่นเป็นสุนัขเหรอ?
Is that a dog?	นั่นใช่สุนัขเหรอ?
Is this yours?	นี่เป็นของคุณหรือไม่?
It's all mine.	มันเป็นของผมทั้งหมด
Lock the gate.	ล็อคประตู
May I ask why?	ฉันขอถามได้มั้ยว่าทำไม?
My cat is wet.	แมวของฉันเปียก
My dog ate it.	สุนัขของฉันกินมัน
My dog ate it.	หมาของฉันกินมัน
My head aches.	หัวฉันปวด
No one saw me.	ไม่มีใครเห็นฉัน
Send it to me.	ส่งมันมาหาฉัน
She bent down.	เธอก้มลง
She hired him.	เธอจ้างเขา
She is French.	เธอเป็นคนฝรั่งเศส
She is French.	เธอเป็นคนชาวฝรั่งเศส
She is crying.	เธอกำลังร้องไห้
She is eating.	เธอกำลังกิน
She likes him.	เธอชอบเขา
She wants him.	เธอต้องการเขา
Speak clearly.	พูดอย่างชัดเจน
Speak quietly.	พูดเบา ๆ
Start singing.	เริ่มร้องเพลง
Stay together.	อยู่ด้วยกัน
Stop dreaming.	หยุดฝัน
Stop worrying.	หยุดกังวล
That's a fact.	นั่นคือความจริง
That's my car.	นั่นรถของฉัน
That's my job.	นั่นคืองานของผม
That's not OK.	นั่นไม่โอเค
There you are.	นั่นแหละ
There you are.	นั่นไง
They're spies.	พวกมันเป็นสายลับ
This is Japan.	นี่คือญี่ปุ่น
This is a DVD.	นี่คือดีวีดี
Tom ate alone.	ทอมกินคนเดียว
Tom disagreed.	ทอมไม่เห็นด้วย
Tom graduated.	ทอมจบการศึกษา
Tom is boring.	ทอมน่าเบื่อ
Tom is in bed.	ทอมอยู่บนเตียง
Tom lost hope.	ทอมหมดความหวัง
Tom loves you.	ทอมรักคุณ
Tom protested.	ทอมประท้วง
Tom warned us.	ทอมเตือนเรา
Tom was a spy.	ทอมคือสปาย
Tom was a spy.	ทอมเป็นสปาย
Tom was a spy.	ทอมเป็นสายลับ
Tom was a spy.	ทอมคือสายลับ
Tom was lucky.	ทอมโชคดี
Tom went pale.	ทอมหน้าซีด
Tom will sing.	ทอมจะร้องเพลง
Tom's adopted.	ทอมเป็นลูกบุญธรรม
We are hungry.	พวกเราหิว
We got robbed.	พวกเราถูกปล้น
We helped Tom.	พวกเราช่วยทอม
We'll be here.	เราจะอยู่ที่นี่
We'll be late.	เราจะสาย
We're curious.	พวกเราอยากรู้
We're kidding.	พวกเราล้อเล่น
We've arrived.	เรามาถึงแล้ว
What happened?	เกิดอะไรขึ้น?
Where are you?	คุณอยู่ที่ไหน?
Who disagreed?	ใครไม่เห็นด้วย?
Who was right?	ใครถูก?
Will you come?	คุณจะมาไหม
You are wrong.	คุณผิด
You can do it.	คุณสามารถทำมันได้
You look busy.	คุณดูยุ่ง
Are you hiding?	คุณกำลังหลบซ่อนอยู่เหรอ?
Are you hungry?	คุณหิวไหม?
Can I help you?	ฉันช่วยคุณได้ไหม?
Can I sit here?	ฉันนั่งตรงนี้ได้ไหม?
Can I sit here?	ฉันนั่งที่นี่ได้ไหม?
Can I sit here?	ขอฉันนั่งตรงนี้ได้ไหม?
Close the book.	ปิดหนังสือ
Cows eat grass.	วัวกินหญ้า
Cut it in half.	ผ่าครึ่งมัน
Dinner's ready!	อาหารเย็นพร้อมแล้ว!
Do you like it?	คุณชอบมันไหม?
Do you love it?	คุณรักมันไหม?
Do you love me?	คุณรักฉันไหม?
Don't back off.	อย่าถอย
Don't be silly.	อย่าโง่
Don't stop him.	อย่าหยุดเขา
Good afternoon.	สวัสดีตอนบ่าย
Happy birthday!	สุขสันต์วันเกิด!
He could do it.	เขาสามารถทำมันได้
He doesn't lie.	เขาไม่ได้โกหก
He is an actor.	เขาเป็นนักแสดง
He seems tired.	เขาดูเหนื่อย
He went to bed.	เขาเข้านอน
I accept gifts.	ฉันรับของขวัญ
I am too short.	ฉันเตี้ยเกินไป
I am too short.	ฉันสั้นเกินไป
I broke my leg.	ฉันทำขาฉันหัก
I can hear you.	ฉันสามารถได้ยินเสียงคุณ
I hate Mondays.	ฉันเกลียดวันจันทร์
I hate ironing.	ฉันเกลียดการรีดผ้า
I have a dream.	ฉันมีความฝัน
I have a horse.	ฉันมีม้า
I like English.	ฉันชอบภาษาอังกฤษ
I love flowers.	ฉันรักดอกไม้
I love lasagna.	ฉันรักลาซัญญา
I love my city.	ฉันรักเมืองของฉัน
I often travel.	ฉันมักจะเดินทาง
I punished Tom.	ฉันลงโทษทอม
I raise cattle.	ฉันเลี้ยงวัว
I saw her swim.	ฉันเห็นเธอว่ายน้ำ
I saw him jump.	ฉันเห็นเขากระโดด
I think we can.	ฉันคิดว่าเราทำได้
I'll finish it.	ผมจะทำมันให้เสร็จ
I'll stay here.	ฉันจะอยู่ที่นี่
I'll teach you.	ฉันจะสอนคุณ
I'm a free man.	ฉันเป็นคนอิสระ
I'm a prisoner.	ฉันเป็นนักโทษ
I'm an atheist.	ฉันเป็นคนไม่เชื่อในพระเจ้า
I'm doing fine.	ฉันสบายดี
It isn't cheap.	มันไม่ถูก
It may be true.	มันอาจเป็นจริง
It's too small.	มันเล็กเกินไป
It's very good.	มันดีมาก
Leave me alone!	ทิ้งฉันไว้คนเดียว!
Let's practice.	มาฝึกกัน
Let's watch TV.	ดูทีวีกันเถอะ
May I sit here?	ฉันขอนั่งที่นี่ได้ไหม?
My joints ache.	ข้อของฉันปวด
My name is Tom.	ฉันชื่อว่าทอม
Nobody hurt me.	ไม่มีใครทำร้ายฉัน
Nobody hurt me.	ไม่มีใครทำร้ายผม
Nobody laughed.	ไม่มีใครหัวเราะ
Only God knows.	พระเจ้าเท่านั้นที่รู้
She can't swim.	เธอว่ายน้ำไม่เป็น
She can't swim.	เธอว่ายน้ำไม่ได้
She loves cats.	เธอรักแมว
She's pregnant.	เธอท้อง
Stop grumbling.	หยุดบ่น
Stop resisting!	หยุดขัดขืน!
Summer is over.	ฤดูร้อนสิ้นสุดลงแล้ว
The dog barked.	สุนัขเห่า
The dog barked.	หมาเห่า
They let me go.	พวกเขาปล่อยฉันไป
They quarreled.	พวกเขาทะเลาะกัน
They were busy.	พวกเขายุ่ง
They're broken.	พวกมันหัก
They're broken.	พวกมันพัง
This is boring.	นี่มันน่าเบื่อ
Tom died there.	ทอมตายที่นั่น
Tom drank milk.	ทอมดื่มนม
Tom is dancing.	ทอมกำลังเต้น
Tom is elderly.	ทอมเป็นผู้สูงอายุ
Tom is staying.	ทอมกำลังอาศัยอยู่
Tom is strange.	ทอมแปลก
Tom is yawning.	ทอมกำลังหาว
Tom isn't here.	ทอมไม่ได้อยู่ที่นี่
Tom knows Mary.	ทอมรู้จักแมรี่
Tom knows this.	ทอมรู้สิ่งนี้
Tom likes that.	ทอมชอบสิ่งนั้น
Tom needs help.	ทอมต้องการความช่วยเหลือ
Tom turned red.	ทอมหน้าแดง
Tom wants Mary.	ทอมต้องการแมรี่
Tom will speak.	ทอมจะพูด
Wash your feet.	ล้างเท้าของคุณ
We can do that.	เราสามารถทำเช่นนั้นได้
We made him go.	เราทำให้เขาไป
We need a plan.	เราต้องการแผน
We'll be there.	เราจะไปที่นั่น
Were you alone?	คุณอยู่คนเดียวเหรอ
What do you do?	คุณทำอะไร?
Where's my car?	รถของฉันอยู่ไหน?
Who broke this?	ใครทำลายสิ่งนี้?
Who will do it?	ใครจะทำมัน?
