Hello!	Sveiki!
This is above me.	Tas ir pāri manām spējām.
Tom is an orphan.	Toms ir bārenis.
Tom is angry now.	Toms ir dusmīgs.
Tom kept running.	Toms turpināja skriet.
Tom kept sighing.	Toms turpināja dziedāt.
Tom kept singing.	Toms turpināja dziedāt.
Tom kept smiling.	Toms turpināja smaidīt.
Tom kept staring.	Toms turpināja lūkoties.
Tom kept staring.	Toms turpināja skatīties.
Tom kept talking.	Toms turpināja runāt.
Tom went bananas.	Toms pārgāja uz banāniem.
Turn off the gas.	Izslēgt gāzi!
Turn off the gas.	Izslēdziet gāzi!
What could it be?	Kas tas varētu būt?
Whose turn is it?	Kura kārta ir?
You must join me.	Tev vajag man piebiedroties.
You should sleep.	Tev vajadzētu gulēt.
You'll stay here.	Tu paliksi šeit.
You're depressed.	Tu esi nomākts.
You're in danger.	Jūs esat briesmās.
Are you surprised?	Vai tu esi pārsteigts?
Give me your book.	Iedod man savu grāmatu!
How are you going?	Kā jums klājas?
I didn't even ask.	Es pat nejautāju.
I hope we find it.	Es ceru, ka mēs to atradīsim.
I need to find it.	Man vajag to atrast.
I prefer comedies.	Es dodu priekšroku komēdijām.
I saw you outside.	Es tevi redzēju ārpusē.
I'll set you free.	Es tevi atbrīvošu.
I'll set you free.	Es jūs atbrīvošu.
It's not my fault.	Tā nav mana vaina.
Life is enjoyable.	Dzīve ir patīkama.
My father is busy.	Mans tēvs ir aizņemts.
Now, that's funny.	Lūk, tas bija smieklīgi.
October was worse.	Oktobris bija slikts.
Shouldn't we help?	Vai mums nevajadzētu palīdzēt?
The pizza is here.	Pica ir klāt.
They are our cars.	Tās ir mūsu mašīnas.
This is Tom's cat.	Šis ir Toma kaķis.
Tom is a crusader.	Toms ir krustnesis.
Tom is at the bar.	Toms ir pie bāra.
Tom is behind you.	Toms ir aiz tevis.
Tom loved bananas.	Toms mīlēja banānus.
Tom returned fire.	Toms šāva pretīm.
Tom returned home.	Toms atgriezās mājās.
Tom served dinner.	Toms pasniedza vakariņas.
Tom won't find me.	Toms mani neatradīs.
Tom won't find us.	Toms mūs neatradīs.
Tom won't help me.	Toms man nepalīdzēs.
Tom won't stop me.	Toms mani neapturēs.
Tom's dog is dead.	Toma suns ir miris.
We agreed to that.	Mēs tam piekritām.
We've all seen it.	Mēs visi to esam redzējuši.
Were you prepared?	Jūs bijāt gatavi?
What's biting you?	Kas tev kož?
When will Tom eat?	Kad Toms ēdīs?
Who's at the door?	Kas ir pie durvīm?
Will Tom help you?	Vai Toms tev palīdzēs?
Will you kiss Tom?	Vai tu noskūptīsi Tomu?
Will you warn Tom?	Vai tu brīdināsi Tomu?
You can wait here.	Tu vari gaidīt šeit.
You deserved that.	Tu to biji pelnījis.
All apples are red.	Visi āboli ir sarkani.
Bananas are yellow.	Banāni ir dzelteni.
Bring me the flute.	Atnes man flautu.
Can you forgive me?	Vai vari man piedot?
Do you have a plan?	Vai tev ir plāns?
Do you like apples?	Vai tev garšo āboli?
Good job, everyone.	Labi darīts, visi.
Hand me that phone.	Paspiedz man to telefonu.
Hand me that sword.	Padod man to zobenu.
Here are your bags.	Šeit ir jūsu somas.
How did he find us?	Kā viņš mūs atrada?
I brought you this.	Es tev atnesu šo.
I don't have a cow.	Man nav govs.
I entered her room.	Es iegāju viņas istabā.
I found a good job.	Es atradu labu darbu.
I haven't paid yet.	Es vēl neesmu samaksājis.
I just sold my car.	Es tikko pārdevu savu mašīnu.
I left Tom at home.	Es atstāju Tomu mājās.
I like candlelight.	Man patīk sveču gaisma.
I live near a park.	Es dzīvoju netālu no parka.
I need a corkscrew.	Man vajag korķviļķi.
I never drink beer.	Es nekad nedzeru alu.
I won't bother you.	Es tevi netraucēšu.
I'd like to try it.	Es labprāt to izmēģinātu.
I'll find somebody.	Es kādu atradīšu.
I'll help you, too.	Es tev arī palīdzēšu.
I'm Tom's neighbor.	Es esmu Toma kaimiņš.
I'm working harder.	Es strādāju cītīgāk.
Is this book yours?	Vai šī grāmata ir tava?
It really happened.	Es patiešām esmu laimīgs.
It's just not fair.	Tas vienkārši nav godīgi.
It's now your turn.	Tagad ir tava kārta.
Let me pay tonight.	Ļauj man spēlēt šovakar.
Please don't argue.	Lūdzu, nestrīdieties!
Please don't argue.	Lūdzu, nestrīdies!
She has seven sons.	Viņai ir septiņi dēli.
That won't be easy.	Tas nebūs viegli.
Tom called me back.	Toms pasauca mani atpakaļ.
Tom has passed out.	Toms ir atslēdzies.
Tom is a great kid.	Toms ir labs puika.
Tom is a smart kid.	Toms ir gudrs zēns.
Tom is about to go.	Toms tulīt ies.
Tom is at the door.	Toms ir pie durvīm.
Tom is coming back.	Toms atgriezīsies.
Tom kept screaming.	Toms turpināja kliegt.
Tom leaned forward.	Toms paliecās uz priekšu.
Tom might be upset.	Toms varētu būt apbēdināts.
Tom said goodnight.	Toms pateica ar labunakti.
Tom said something.	Toms pateica kaut ko.
Tom stayed outside.	Toms palika ārā.
Wait just a moment.	Pagaidi mirkli.
We're just friends?	Mēs esam tikai draugi?
What is it made of?	No kā tas ir izgatavots?
Where will I sleep?	Kur es gulēšu?
Whose room is this?	Kuram ir šī istaba?
You've lost weight.	Tu pazaudēji svaru.
Are these your skis?	Šīs ir tavas slēpes?
Do you like cycling?	Vai tev patīk riteņbraukšana?
He has a loud voice.	Viņam ir skaļa balss.
He lives next to me.	Viņš dzīvo blakus man.
He seemed to be ill.	Viņš izskatījās saslimis.
How can people help?	Kā cilvēki var palīdzēt?
I am sad to hear it.	Man ir skumji to dzirdēt.
I bought milk today.	Es šodien nopirku pienu.
I don't have a list.	Man nav saraksta.
I don't like flying.	Man nepatīk lidot.
I have to go to bed.	Man vajag iet gulēt.
I know what I'll do.	Es zinu, ko es darīšu.
I need some hangers.	Man vajag dažus pakaramos.
I painted the house.	Es nokrāsoju māju.
I sent you a letter.	Es tev nosūtīju vēstuli.
I think you're nice.	Es domāju, ka tu esi jauks.
I wanted an apology.	Es gribēju atvainoties.
I'm tired of losing.	Es esmu noguris no zaudēšanas.
I'm worried for you.	Es esmu noraizējies par tevi.
I've never hurt Tom.	Es nekad neesmu sāpinājis Tomu.
I've never hurt Tom.	Es nekad neesmu sāpinājusi Tomu.
Is it even possible?	Vai tas maz ir iespējams?
It is white as snow.	Tas ir balts kā sniegs.
It's a long journey.	Tas ir garš ceļojums.
Keep away from that.	Turies pa gabalu no tā.
May I ask your name?	Vai es varētu pajautāt kā tevi sauc?
My dad will kill me.	Mans tēvs mani nogalinās.
Please give me that.	Lūdzu iedod man to.
Read the book aloud.	Lasi grāmatu skaļi.
Tell Tom I'm joking.	Pasaki Tomam, ka es jokoju.
That's an imitation.	Tā ir imitācija.
That's not a secret.	Tas nav noslēpums.
That's not my fault.	Tā nav mana vaina.
That's really weird.	Tas tiešām ir dīvaini.
That's your opinion.	Tā ir tava izvēle.
The news isn't good.	Ziņas nav labas.
They aren't like us.	Viņi nav tādi kā mēs.
They really did win.	Viņi tiešām neuzvarēja.
Tom can't fire Mary.	Toms nevar atlaist Mariju.
Tom could be groggy.	Toms varētu būt grīļīgs.
Tom is a polite man.	Toms ir pieklājīgs cilvēks.
Tom is a tour guide.	Toms ir gids.
Tom is a tour guide.	Toms ir ceļvedis.
Tom is back in town.	Toms ir atgriezies.
Tom is barely alive.	Toms ir knapi dzīvs.
Tom is disappointed.	Toms ir vīlies.
Tom kicked the ball.	Toms iespēra pa bumbu.
Tom let Mary escape.	Toms ļāva Marijai aizmukt.
Tom often says that.	Toms bieži to saka.
Tom rushed upstairs.	Toms steidzās augšup pa kapnēm.
Tom sat impatiently.	Toms apsēdās uzreiz.
Tom was pretty open.	Toms bija diezgan atklāts.
We'll send somebody.	Mēs kādu aizsūtīsim.
We're still nervous.	Mēs vēl esam nervozi.
We're trying to win.	Mēs mēģinam uzvarēt.
We're unimaginative.	Mēs neesam izdomas bagāti.
What did you answer?	Ko tu atbildēji?
Where's Tom's watch?	Kur ir Toma pulkstenis?
You don't work here.	Tu šeit nestrādā.
You have bad breath.	Tev ir slikta elpa.
Call Tom immediately.	Zvani Tomam nekavējoties.
Do you speak English?	Vai jūs runājat angliski?
Do you speak English?	Vai tu runā angliski?
Go and see who it is.	Ej un paskaties, kas tas ir.
How many do you want?	Cik daudz tu gribi?
I forget who said it.	Es aizmirsu kurš to teica.
I know that he knows.	Es zinu, ka viņš zin.
I like silent movies.	Man patīk mēmās filmas.
I still think of Tom.	Es aizvien domāju par Tomu.
I want to go skating.	Es gribu doties slidot.
I wanted to meet Tom.	Es gribēju satikt Tomu.
I wasn't too worried.	Es nebiju parāk uztraucies.
I went out by myself.	Es izgāju viens pats.
I wish I were famous.	Es vēlos kaut es būtu slavens.
I won't eat anything.	Es neēdīšu neko.
I won't sing tonight.	Es šonakt nedziedāšu.
I'll always miss you.	Man tevis vienmēr pietrūks.
I'll let you do that.	Es tev atļauju to darīt.
I'm already a father.	Es jau esmu tēvs.
I'm closing the door.	Es aizveru durvis.
I'm happy to hear it.	Es priecājos to dzirdēt.
It's a stupid system.	Tā ir stulba sistēma.
It's an easy victory.	Tā ir viegla uzvara.
It's an open meeting.	Tā ir atklāta tikšanās.
Look at that red car.	Paskaties uz to sarkano mašīnu.
Monkeys like bananas.	Pērtiķiem garšo banāni.
Please lock the safe.	Lūdzu aizslēdz seifu.
Should I include Tom?	Vai man vajadzētu iekļaut Tomu?
They resumed walking.	Viņi turpināja iet.
Tom is a good friend.	Toms ir labs draugs.
Tom is already there.	Toms jau ir šeit.
Tom is an old friend.	Toms ir mans vecs draugs.
Tom needed your help.	Tomam vajag tavu palīdzību.
Tom resumed speaking.	Toms atsāka runāt.
Tom wore a straw hat.	Toms valkāja salmu cepuri.
We can't give up now.	Mēs nevaram padoties.
We did nothing wrong.	Mēs neizdarījām neko sliktu.
We didn't do a thing.	Mēs neko nedarījām.
We need your support.	Mums vajag jūsu atbalsu.
We're being cautious.	Mēs esam piesardzīgi.
We're being cautious.	Mēs esam uzmanīgi.
When's your birthday?	Kad ir tava dzimšanas diena?
Where is the problem?	Kur ir problēma?
Who's Tom looking at?	Uz ko skatās Toms?
Who's Tom looking at?	Uz ko Toms skatās?
Why should they hide?	Kāpēc viņiem būtu jāslēpjas?
Will you come or not?	Tu nāksi vai nenāksi?
Yesterday was Sunday.	Vakar bija Svētdiena.
Your son is a genius.	Tavs dēls ir ģēnijs.
Your son is a genius.	Jūsu dēls ir ģēnijs.
Are pies hard to make?	Vai pīrāgus ir grūti pagatavot?
Are you in a bad mood?	Vai tev ir slikts garastāvoklis?
Bananas are delicious.	Banāni ir gardi.
Do you need this book?	Vai tev vajag šo grāmatu?
Does Tom have an iPad?	Vai Tomam ir iPad?
Everyone else does it.	Visi citi to dara.
How long did you stay?	Cik ilgi tu paliki?
How much is rye flour?	Cik maksā rudzu milti?
I didn't want to lose.	Es negribēju zaudēt.
I know Tom lied to us.	Es zinu, ka Toms mums sameloja.
I know what Tom likes.	Es zinu kas Tomam patīk.
I met her an hour ago.	Es viņu satiku pirms stundas.
I need a box of nails.	Man vajag naglu kasti.
I need to feed my dog.	Man ir jāpabaro mans suns.
I usually get up at 8.	Es parasti ceļos astoņos.
I'd like to know more.	Es gribētu uzzināt vairāk.
I'll be there at 2:30.	Es tur būšu pulksten 2:30.
I'll do that for sure.	Es to noteikti izdarīšu.
I'll show you my room.	Es tev parādīšu savu istabu.
I'll tell you a story.	Es tev pastāstīšu stāstu.
I'm sure I'll do that.	Esmu pārliecināts, ka es to izdarīšu.
Is your daughter here?	Vai tava meita ir šeit?
It seems warm outside.	Šķiet ka ārā ir silts.
Let's not go to class.	Neiesi uz klasi.
That's good, isn't it?	Tas ir labi, vai ne?
That's not an illness.	Tā nav slimība.
They should apologize.	Viņiem vajadzētu atvainoties.
This is going too far.	Tas ir aizgājis par tālu.
Tom appeared confused.	Toms izskatījās apmulsis.
Tom doesn't live here.	Toms šeit nedzīvo.
Tom gave me that book.	Toms man iedeva to grāmatu.
Tom has a good excuse.	Tomam ir labs attaisnojums.
Tom has good eyesight.	Tomam ir laba redze.
Tom hung up the phone.	Toms nolika klausuli.
Tom is at the airport.	Toms ir pie lidostas.
Tom resuscitated Mary.	Toms atdzīvināja Mariju.
We climbed to the top.	Mēs uzkāpām līdz virsotnei.
Who's Tom looking for?	Ko Toms meklē?
Who's the best lawyer?	Kurš ir labākais jurists?
You always seem tired.	Tu vienmēr izskaties noguris.
Better late than never.	Labāk vēlu nekā nekad.
Can you close the door?	Vai tu vari aizvērt durvis?
Do you come here often?	Vai tu šeit nāc bieži?
Has something happened?	Vai kaut kas ir noticis?
He can't walk any more.	Viņš vairs nevar pastaigāt.
He can't walk any more.	Viņš vairs nevar paiet.
He didn't even read it.	Viņš pat to neizlasīja
He said he could do it.	Viņš teica, ka varētu to izdarīt.
How was your day today?	Kā tev šodien gāja?
I can't help you today.	Es tev šodien nevaru palīdzēt.
I don't agree with him.	Es viņam nepiekrītu.
I don't have any plans.	Man nav nekādu plānu.
I don't know the cause.	Es nezinu iemeslu.
I don't like this show.	Man šis šovs nepatīk.
I hope that it'll work.	Es ceru, ka tas strādās.
I never had much money.	Man nekad nav bijis daudz naudas.
I want to get involved.	Es gribu iesaistīties.
I was happy I did that.	Es biju priecīgs, ka to izdarīju.
I will gladly help you.	Es tev ar prieku palīdzēšu.
I'll go meet them soon.	Drīz došos viņus satikt.
I'll go meet them soon.	Es drīz tikšos ar viņiem.
I'll stay if I want to.	Es palikšu, ja gribēšu.
It doesn't surprise me.	Tas mani nepārsteidz.
My TV has quit working.	Mans TV ir pārstājis darboties.
Now, this is a problem.	Tagad tā ir problēma.
Tell it to him, not me!	Saki to viņam, nevis man!
That was really stupid.	Tas bija patiesi muļķīgi.
That's a good question.	Tas ir labs jautājums.
They suspected nothing.	Viņi neko nenojauš.
Tom cut the wrong wire.	Toms pārgrieza nepareizo vadu.
Tom doesn't believe me.	Toms man netic.
Tom is all alone again.	Toms atkal ir pilnīgi viens.
Tom is studying French.	Toms mācās Franču valodu.
Tom needs our guidance.	Tomam ir vajadzīgas mūsu padoms.
We haven't started yet.	Mēs vēl neesam sākuši.
Well, where do I start?	Tātad, kur lai es sāku?
What're we waiting for?	Ko mēs gaidām?
What're we waiting for?	Ko jūs gaidāt?
Why aren't you at work?	Kāpēc tu neesi darbā?
Why do I feel this way?	Kāpēc es šādi jūtos?
Will she get well soon?	Vai viņa drīz atlabs?
You asked for our help.	Tu lūdzi mūsu palīdzību.
You can't hypnotize me.	Tu nespēj mani hipnotizēt.
You must do it at once.	Tev vajag beidzot to izdarīt.
Can you fly an airplane?	Vai varat lidot ar lidmašīnu?
Did he support her idea?	Vai viņš atbalstīja viņas ideju.
Do you require our help?	Vai tev vajag mūsu palīdzību?
He does not like tennis.	Viņam nepatīk teniss.
He runs a lot of hotels.	Viņš vada daudzas viesnīcas.
Her kindness touched me.	Viņas laipnība mani aizkustināja.
How can you be so naive?	Kā tu vari būt tik naivs?
How do you tolerate Tom?	Kā jūs paciešat Tomu?
I can't just do nothing.	Es varu nedarīt neko.
I don't blame you a bit.	Es tev neko nepārmetu.
I don't blame you a bit.	Es jūs nemaz nevainoju.
I don't care either way.	Man vienalga jebkurā gadījumā.
I don't want to eat now.	Es tagad negribu ēst.
I go there all the time.	Es tur eju visu laiku.
I hope we'll meet again.	Es ceru, ka mēs tiksimies vēlreiz.
I love to take pictures.	Man patīk fotogrāfēt.
I think you're mistaken.	Es domāju, ka tu kļūdies.
I'm good at many things.	Man padodas daudzas lietas.
I've seen Tom in action.	Es esmu redzējis Tomu darbībā.
If you want to cry, cry.	Ja tu gribi raudāt, raudi.
It isn't the same thing.	Tas nav viens un tas pats.
It was nice knowing you.	Bija jauki tevi pazīt.
It's time for Tom to go.	Tomam ir laiks doties.
She didn't need to come.	Viņai nevajadzēja nākt.
She knocked on the door.	Viņa pieklauvēja pie durvīm.
The skeptics were right.	Skeptiķiem bija taisnība.
They know what happened.	Viņi zin, kas notika.
Tom has no friends here.	Tomam šeit nav draugu.
Tom is a visual thinker.	Toms ir vizuāls domātājs.
Tom is my second cousin.	Toms ir mans otrais brālēns.
Tom isn't being careful.	Toms nav piesardzīgs.
Tom just didn't like it.	Tomam tas nepatika.
Tom sat down on a bench.	Toms apsēdās uz soliņa.
Tom stayed home all day.	Toms visu dienu palika mājās.
Tom takes a bus to work.	Toms uz darbu dodas ar autobusu.
Tom was driving a truck.	Toms vadīja kravas automašīnu.
We don't even need this.	Mums pat to nevajag.
We don't have any proof.	Mums nav nekādu pierādījumu.
We wasted a lot of time.	Mēs izniekojām daudz laika.
We've been kind of busy.	Mēs esam bijuši diezgan aizņemti.
We've been there before.	Mēs jau tur esam bijuši.
What did Tom talk about?	Par ko Toms runāja?
What do you think of me?	Ko tu domā par mani?
What're you looking for?	Ko tu meklē?
Who are you calling for?	Uz ko jūs aicinājāt?
Will you talk to me now?	Vai tu tagad runāsi ar mani?
Will you talk to me now?	Vai jūs tagad runāsiet ar mani?
You didn't miss a thing.	Tu neko nenokavēji.
You don't look too good.	Tu neizskaties pārāk labi.
You explained that well.	Tu to labi izskaidroji.
You have plenty of time.	Tev ir daudz laika.
All the supplies ran out.	Visi krājumi izsīka.
Can you help me a little?	Vai tu man varētu nedaudz palīdzēt?
Curiosity replaced shock.	Ziņkārība aizvietoja šoku.
He drank a lot yesterday.	Viņš dzēra daudz vakar.
He has never been abroad.	Viņš nekad nav bijis ārzemēs.
He is too tired to study.	Viņš ir pārāk noguris, lai mācītos.
He missed the last train.	Viņš nokavēja pēdējo vilcienu.
He'll be glad to see you.	Viņš priecāsies tevi redzēt.
He'll be glad to see you.	Viņš priecāsies jūs redzēt.
How tall is your brother?	Cik garš ir tavs brālis?
I advised Tom to go home.	Es ieteicu Tomam doties mājās.
I can help if you'd like.	Es varu palīdzēt ja tu gribi.
I can't help you do that.	Es nevaru tev palīdzēt to izdarīt.
I don't like cold coffee.	Man nepatīk auksta kafija.
I don't like you anymore.	Man tu vairs nepatīc.
I go to school by subway.	Es dodos uz skolu ar metro.
I hope she will get well.	Es ceru, ka viņai paliks labi.
I knew Tom meant no harm.	Es zinu, ka Toms nedomāja ļaunu.
I knew that we'd be late.	Es zināju, ka būsim vēlu.
I saw it from the window.	Es to ieraudzīju no loga.
I wonder if this is love.	Es domāju vai tā ir mīlestība.
I'll call you right back.	Es tev tūlīt atzvanīšu.
I'll study hard tomorrow.	Es rīt cītīgi mācīšos
I'm glad you reminded me.	Es esmu priecīgs, ka tu man atgādināji.
I'm not excited about it.	Es neesmu par to sajūsmā.
I'm really glad you came.	Esmu ļoti priecīgs, ka tu atnāci.
I've got nothing to hide.	Man nav nekas slēpjams.
Mary is Tom's girlfriend.	Marijas draugs ir Toms.
Maybe we should be quiet.	Varbūt mums vajadzētu būt klusiem.
My room is next to Tom's.	Mana istaba atrodas blakus Toma istabai.
That wasn't my intention.	Tas nebija mans nodoms.
That's not going to help.	Tas nelīdzēs.
The two boys are cousins.	Šie zēni ir brālēni.
They became very nervous.	Viņi kļuva ļoti nervozi.
This watch is waterproof.	Šis rokaspulkstenis ir ūdensizturīgs.
Tom didn't say Mary lied.	Toms neteica, ka Mērija meloja.
Tom is already in Boston.	Toms jau ir Bostonā.
Tom returned immediately.	Toms atgriezās uzreiz.
Tom went there yesterday.	Toms vakar tur devās.
Tom will come back later.	Toms atgriezīsies vēlāk.
Turtles don't have teeth.	Bruņurupučiem nav zobu.
We appreciate his talent.	Mēs novērtējam viņa talantu.
We should study together.	Mums vajadzētu mācīties kopā.
Weigh yourself every day.	Nosveries katru dienu.
What do you mean by that?	Ko tu ar to domā?
Would you like to see it?	Vai tu gribētu redzēt to?
You don't have to eat it.	Tev nevajag to ēst.
You've already forgotten.	Jūs esat jau aizmirsis.
Are you busy Friday night?	Vai tu esi aizņemts piektdienas vakarā?
Are you busy Friday night?	Vai esat aizņemts piektdienas vakarā?
Everyone, please be quiet.	Visi lūdz esat klusi.
He can speak Russian, too.	Viņš ari var runāt Krieviski.
He is a methodical person.	Viņš ir metodisks cilvēks.
He seems to be in trouble.	Šķiet, ka viņam ir nepatikšanas.
How do you pronounce this?	Kā tu šo izrunā?
How many keys do you have?	Cik atslēgu jums ir?
I can get anything I want.	Es varu dabūt visu, ko es gribu.
I don't have many friends.	Man nav daudz draugu.
I don't know how I did it.	Es nezinu kā es to izdarīju.
I don't want you to worry.	Es negribu lai tu uztrauktos.
I just couldn't afford it.	Es vienkārši nespēju to atļauties.
I just want a normal life.	Es tikai vēlos normālu dzīvi.
I need to know everything.	Man jāzin viss.
I was terribly frightened.	Es biju ļoti nobijies.
I won't need that anymore.	Man to vairs nevajadzēs.
I'm having a heart attack.	Man ir sirdstrieka.
I've been writing letters.	Es rakstīju vēstules.
Our plan was unsuccessful.	Mūsu plāns bija neveiksmīgs.
Please give me this money.	Lūdz iedod man šo naudu.
Tell me what you find out.	Pastāsti man ko esi atklājis.
They should ask Tom first.	Viņiem vispirms vajadzētu pajautāt Tomam.
They're young and healthy.	Viņi ir jauni un veselīgi.
Tom and I have a daughter.	Mums ar Tomu ir meita.
Tom didn't look too happy.	Toms neizskatījās pārāk priecīgs.
Tom isn't like other boys.	Toms nav tāds kā citi puiši.
Tom lived for a long time.	Toms dzīvoja ilgi.
Tom must've been tortured.	Toms droši vien tika spīdzināts.
Tom plays volleyball well.	Toms labi spēlē volejbolu.
Tom seems different today.	Toms šodien izskatās savādāk.
Tom wanted to stay inside.	Toms gribēja palikt iekšpusē.
Tom wants to set it right.	Toms grib to izlabot.
Watch out for pickpockets.	Uzmanies no zagļiem.
We were forced to do that.	Mēs tikām spiesti to darīt.
What are you listening to?	Ko jūs klausāties?
What do you suppose it is?	Kā tu domā, kas tas ir?
What do you want for that?	Ko tu vēlies par to?
What's your cousin's name?	Kads ir tava brālēna vārds?
What's your cousin's name?	Kāds ir tavas māsīcas vārds?
Why do we have to go home?	Kāpec mums vajag iet mājās?
Wow, look at these prices!	Oho, paskaties uz šīm cenām!
You don't need to explain.	Tev nav jāpaskaidro.
You don't need to explain.	Jums nevajag paskaidrot.
You must be really hungry.	Tu noteikti esi ļoti izsalcis.
Your brother won't buy it.	Tavs brālis to nepirks.
Can you guess what this is?	Vai vari uzminēt, kas šis ir?
Can you guess what this is?	Vai varat uzminēt, kas šis ir?
Did you see where Tom went?	Vai tu redzēji kur palika Toms?
Do they have any good news?	Vai tev ir labi jaunumi.
Do you ever wear a bow tie?	Vai tu kādreiz velc tauriņu?
Do you know the bus driver?	Vai tu pazīsti autobusa vadītāju?
He didn't order dinner yet.	Es vel nepasūtīju vakariņas.
He is a teacher of English.	Viņš ir angļu valodas skolotājs.
I assume that won't happen.	Es pieņemu, ka tas nenotiks.
I can hear someone singing.	Es dzirdu kādu dziedam.
I don't care what it costs.	Man vienalga, cik tas maksā.
I don't have a spare shirt.	Man nav lieka krekla.
I don't know what you mean.	Es nezinu ko tu ar to domā.
I had a great time tonight.	Man bija lieliski šonakt.
I heard you the first time.	Es tevi dzirdēju pirmo reizi.
I started writing the book.	Es sāku rakstīt grāmatu.
I think that it's sensible.	Manuprāt, tas ir prātīgi.
I wish I could go to Japan.	Es vēlos kaut es varētu doties uz Japānu.
I'd like to live in Europe.	Man patīk dzīvot Eiropā.
I'll let you have this pen.	Es tev iedošu šo pildspalvu.
I'll let you have this pen.	Es iedošu jums šo pildspalvu.
I'll never make it in time.	Es nekad neuzspēšu laikā.
I'll stay at home tomorrow.	Es rīt palikšu mājās.
I'm not going to die today.	Es netaisos mirt šodien.
Is your brother's name Tom?	Vai tava brāļa vārds ir Toms?
